date,region,daily_ed_visits,departments_reporting
26-01-2018,Auvergne et Rhône-Alpes,7278,12
27-01-2018,Auvergne et Rhône-Alpes,7322,12
28-01-2018,Auvergne et Rhône-Alpes,7558,12
29-01-2018,Auvergne et Rhône-Alpes,8394,12
30-01-2018,Auvergne et Rhône-Alpes,7326,12
31-01-2018,Auvergne et Rhône-Alpes,7284,12
01-02-2018,Auvergne et Rhône-Alpes,7482,12
02-02-2018,Auvergne et Rhône-Alpes,7409,12
03-02-2018,Auvergne et Rhône-Alpes,7376,12
04-02-2018,Auvergne et Rhône-Alpes,7325,12
05-02-2018,Auvergne et Rhône-Alpes,7889,12
06-02-2018,Auvergne et Rhône-Alpes,7326,12
07-02-2018,Auvergne et Rhône-Alpes,7076,12
08-02-2018,Auvergne et Rhône-Alpes,7341,12
09-02-2018,Auvergne et Rhône-Alpes,7514,12
10-02-2018,Auvergne et Rhône-Alpes,6975,12
11-02-2018,Auvergne et Rhône-Alpes,6759,12
12-02-2018,Auvergne et Rhône-Alpes,7721,12
13-02-2018,Auvergne et Rhône-Alpes,6920,12
14-02-2018,Auvergne et Rhône-Alpes,6725,12
15-02-2018,Auvergne et Rhône-Alpes,6722,12
16-02-2018,Auvergne et Rhône-Alpes,6806,12
17-02-2018,Auvergne et Rhône-Alpes,6654,12
18-02-2018,Auvergne et Rhône-Alpes,6543,12
19-02-2018,Auvergne et Rhône-Alpes,7610,12
20-02-2018,Auvergne et Rhône-Alpes,7100,12
21-02-2018,Auvergne et Rhône-Alpes,7004,12
22-02-2018,Auvergne et Rhône-Alpes,6940,12
23-02-2018,Auvergne et Rhône-Alpes,6887,12
24-02-2018,Auvergne et Rhône-Alpes,7063,12
25-02-2018,Auvergne et Rhône-Alpes,6864,12
26-02-2018,Auvergne et Rhône-Alpes,7590,12
27-02-2018,Auvergne et Rhône-Alpes,6746,12
28-02-2018,Auvergne et Rhône-Alpes,6692,12
01-03-2018,Auvergne et Rhône-Alpes,7203,12
02-03-2018,Auvergne et Rhône-Alpes,7171,12
03-03-2018,Auvergne et Rhône-Alpes,7150,12
04-03-2018,Auvergne et Rhône-Alpes,7047,12
05-03-2018,Auvergne et Rhône-Alpes,8519,12
06-03-2018,Auvergne et Rhône-Alpes,7528,12
07-03-2018,Auvergne et Rhône-Alpes,7264,12
08-03-2018,Auvergne et Rhône-Alpes,7337,12
09-03-2018,Auvergne et Rhône-Alpes,7472,12
10-03-2018,Auvergne et Rhône-Alpes,7253,12
11-03-2018,Auvergne et Rhône-Alpes,7082,12
12-03-2018,Auvergne et Rhône-Alpes,8349,12
13-03-2018,Auvergne et Rhône-Alpes,7311,12
14-03-2018,Auvergne et Rhône-Alpes,7463,12
15-03-2018,Auvergne et Rhône-Alpes,7484,12
16-03-2018,Auvergne et Rhône-Alpes,7582,12
17-03-2018,Auvergne et Rhône-Alpes,7283,12
18-03-2018,Auvergne et Rhône-Alpes,7180,12
19-03-2018,Auvergne et Rhône-Alpes,8182,12
20-03-2018,Auvergne et Rhône-Alpes,6976,12
